year,figure,breakdown,disaggregation,indicator,measure
2004,49,Male,Gender,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2005,51,Male,Gender,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2006,51,Male,Gender,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2007,52,Male,Gender,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2008,51,Male,Gender,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2009,54,Male,Gender,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2010,54,Male,Gender,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2011,54,Male,Gender,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2012,54,Male,Gender,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2013,53,Male,Gender,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2014,54,Male,Gender,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2015,55,Male,Gender,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2016,56,Male,Gender,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2017,56,Male,Gender,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2018,56,Male,Gender,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2019,57,Male,Gender,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2012,55.3,Aberdeen City,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2013,54.1,Aberdeen City,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2014,61.4,Aberdeen City,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2015,52.4,Aberdeen City,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2016,55.3,Aberdeen City,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2017,56.4,Aberdeen City,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2018,53.1,Aberdeen City,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2019,46.4,Aberdeen City,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2012,67.2,Aberdeenshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2013,64.2,Aberdeenshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2014,66.3,Aberdeenshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2015,65.9,Aberdeenshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2016,70.8,Aberdeenshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2017,67.6,Aberdeenshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2018,63.3,Aberdeenshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2019,69,Aberdeenshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2012,58.5,Angus,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2013,60.7,Angus,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2014,53.3,Angus,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2015,61.4,Angus,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2016,62.5,Angus,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2017,66.2,Angus,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2018,65.6,Angus,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2019,62.3,Angus,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2012,69.8,Argyll & Bute,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2013,66.6,Argyll & Bute,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2014,62.4,Argyll & Bute,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2015,67.8,Argyll & Bute,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2016,70.7,Argyll & Bute,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2017,70.5,Argyll & Bute,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2018,74.6,Argyll & Bute,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2019,70.4,Argyll & Bute,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2012,36.2,Clackmannanshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2013,43.6,Clackmannanshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2014,48,Clackmannanshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2015,48.1,Clackmannanshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2016,48.8,Clackmannanshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2017,41.5,Clackmannanshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2018,55.8,Clackmannanshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2019,55.7,Clackmannanshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2012,64.6,Dumfries & Galloway,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2013,61,Dumfries & Galloway,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2014,67,Dumfries & Galloway,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2015,63,Dumfries & Galloway,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2016,61.3,Dumfries & Galloway,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2017,62.5,Dumfries & Galloway,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2018,66.5,Dumfries & Galloway,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2019,66.2,Dumfries & Galloway,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2012,49.3,Dundee City,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2013,42.1,Dundee City,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2014,38.1,Dundee City,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2015,50.2,Dundee City,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2016,51.8,Dundee City,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2017,44.9,Dundee City,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2018,42.7,Dundee City,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2019,49.9,Dundee City,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2012,45.4,East Ayrshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2013,47.4,East Ayrshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2014,52,East Ayrshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2015,43.2,East Ayrshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2016,51,East Ayrshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2017,44.4,East Ayrshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2018,51,East Ayrshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2019,59.5,East Ayrshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2012,69.2,East Dunbartonshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2013,71.1,East Dunbartonshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2014,70.8,East Dunbartonshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2015,71.1,East Dunbartonshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2016,73.7,East Dunbartonshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2017,73.7,East Dunbartonshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2018,72.7,East Dunbartonshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2019,75.3,East Dunbartonshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2012,66.7,East Lothian,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2013,60.3,East Lothian,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2014,70.4,East Lothian,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2015,71.8,East Lothian,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2016,63.1,East Lothian,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2017,66.5,East Lothian,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2018,65.4,East Lothian,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2019,60.5,East Lothian,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2012,78.2,East Renfrewshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2013,75.2,East Renfrewshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2014,71.4,East Renfrewshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2015,75.5,East Renfrewshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2016,73,East Renfrewshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2017,73.6,East Renfrewshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2018,72.9,East Renfrewshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2019,71.2,East Renfrewshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2012,52.4,"Edinburgh, City of",Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2013,49.3,"Edinburgh, City of",Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2014,46.4,"Edinburgh, City of",Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2015,53.4,"Edinburgh, City of",Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2016,52.1,"Edinburgh, City of",Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2017,55.8,"Edinburgh, City of",Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2018,59.1,"Edinburgh, City of",Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2019,58.9,"Edinburgh, City of",Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2012,51.2,Falkirk,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2013,52.1,Falkirk,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2014,50.4,Falkirk,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2015,56.5,Falkirk,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2016,65.7,Falkirk,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2017,55.1,Falkirk,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2018,47.9,Falkirk,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2019,55.8,Falkirk,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2012,56.5,Fife,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2013,52.5,Fife,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2014,56,Fife,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2015,56.4,Fife,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2016,54.7,Fife,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2017,52.9,Fife,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2018,56.4,Fife,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2019,60.5,Fife,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2012,41.4,Glasgow City,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2013,44.2,Glasgow City,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2014,42.2,Glasgow City,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2015,42.5,Glasgow City,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2016,43.8,Glasgow City,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2017,47,Glasgow City,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2018,45,Glasgow City,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2019,40.3,Glasgow City,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2012,66.2,Highland,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2013,70.9,Highland,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2014,70,Highland,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2015,61.1,Highland,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2016,67.4,Highland,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2017,74.6,Highland,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2018,70.2,Highland,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2019,70.5,Highland,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2012,53,Inverclyde,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2013,58.9,Inverclyde,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2014,55.9,Inverclyde,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2015,58.9,Inverclyde,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2016,55.3,Inverclyde,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2017,56.1,Inverclyde,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2018,60.9,Inverclyde,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2019,54,Inverclyde,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2012,40.9,Midlothian,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2013,45,Midlothian,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2014,56.8,Midlothian,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2015,60.9,Midlothian,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2016,57.7,Midlothian,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2017,44.6,Midlothian,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2018,52.7,Midlothian,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2019,46.5,Midlothian,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2012,65.8,Moray,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2013,58.5,Moray,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2014,62.6,Moray,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2015,69,Moray,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2016,69.9,Moray,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2017,69.3,Moray,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2018,69.2,Moray,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2019,63.3,Moray,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2012,78.4,Na-h Eileanan Siar,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2013,85.1,Na-h Eileanan Siar,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2014,81.7,Na-h Eileanan Siar,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2015,77.3,Na-h Eileanan Siar,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2016,84.5,Na-h Eileanan Siar,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2017,85.2,Na-h Eileanan Siar,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2018,83.9,Na-h Eileanan Siar,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2019,90.4,Na-h Eileanan Siar,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2012,48.4,North Ayrshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2013,47,North Ayrshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2014,46.4,North Ayrshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2015,56.7,North Ayrshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2016,55.6,North Ayrshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2017,49.6,North Ayrshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2018,57.4,North Ayrshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2019,54.4,North Ayrshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2012,51.9,North Lanarkshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2013,50.3,North Lanarkshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2014,50.1,North Lanarkshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2015,49.6,North Lanarkshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2016,46.4,North Lanarkshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2017,51.3,North Lanarkshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2018,47.4,North Lanarkshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2019,46.7,North Lanarkshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2012,79.6,Orkney Islands,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2013,85.5,Orkney Islands,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2014,80.1,Orkney Islands,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2015,83.1,Orkney Islands,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2016,81.8,Orkney Islands,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2017,83.9,Orkney Islands,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2018,82,Orkney Islands,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2019,74.5,Orkney Islands,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2012,64.2,Perth & Kinross,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2013,67.3,Perth & Kinross,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2014,68.3,Perth & Kinross,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2015,59.6,Perth & Kinross,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2016,60.9,Perth & Kinross,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2017,65.2,Perth & Kinross,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2018,68.4,Perth & Kinross,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2019,68.5,Perth & Kinross,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2012,54.8,Renfrewshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2013,60.7,Renfrewshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2014,58,Renfrewshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2015,50.1,Renfrewshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2016,57.3,Renfrewshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2017,57.8,Renfrewshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2018,64.1,Renfrewshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2019,52.8,Renfrewshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2012,71.9,Scottish Borders,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2013,70.5,Scottish Borders,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2014,64.6,Scottish Borders,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2015,62.9,Scottish Borders,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2016,64.2,Scottish Borders,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2017,58.7,Scottish Borders,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2018,65,Scottish Borders,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2019,57.7,Scottish Borders,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2012,70.7,Shetland Islands,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2013,77.8,Shetland Islands,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2014,74.6,Shetland Islands,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2015,76.1,Shetland Islands,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2016,74.8,Shetland Islands,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2017,82.9,Shetland Islands,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2018,75.1,Shetland Islands,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2019,74.2,Shetland Islands,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2012,63,South Ayrshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2013,57.3,South Ayrshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2014,60.9,South Ayrshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2015,73.1,South Ayrshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2016,63.4,South Ayrshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2017,63.6,South Ayrshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2018,62.2,South Ayrshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2019,62.5,South Ayrshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2012,49.4,South Lanarkshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2013,51.5,South Lanarkshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2014,55.9,South Lanarkshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2015,56.9,South Lanarkshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2016,48.5,South Lanarkshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2017,53.7,South Lanarkshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2018,55.2,South Lanarkshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2019,56.8,South Lanarkshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2012,63.5,Stirling,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2013,66.6,Stirling,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2014,61.8,Stirling,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2015,70.5,Stirling,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2016,60.4,Stirling,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2017,68.7,Stirling,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2018,64,Stirling,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2019,73.2,Stirling,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2012,43.8,West Dunbartonshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2013,45.5,West Dunbartonshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2014,46.4,West Dunbartonshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2015,44,West Dunbartonshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2016,49.5,West Dunbartonshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2017,47.7,West Dunbartonshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2018,39.2,West Dunbartonshire,Local authority,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
